player_id,player_name,gender,batting_hand,batting_hand,bowling_type
669855,Jofra Archer,m,right-hand bat,right-arm fast,right-arm fast
299572,Sikandar Raza,m,right-hand bat,right-arm offbreak legbreak,right-arm offbreak legbreak
990081,Mohammad Naim,m,left-hand bat,,
643433,George Garton,m,left-hand bat,left-arm fast,left-arm fast
333624,Alex Ross,m,right-hand bat,right-arm offbreak,right-arm offbreak
627627,Tom Rogers,m,left-hand bat,right-arm medium-fast,right-arm medium-fast
595978,Tristan Stubbs,m,right-hand bat,right-arm offbreak,right-arm offbreak
1137262,Azam Khan,m,right-hand bat,,
596442,Delano Potgieter,m,left-hand bat,right-arm medium,right-arm medium
1070665,Dewald Brevis,m,right-hand bat,legbreak,legbreak
698315,Donovan Ferreira,m,right-hand bat,right-arm offbreak,right-arm offbreak
1460388,Vignesh Puthur,m,right-hand bat,left-arm wrist-spin,left-arm wrist-spin
670025,Shimron Hetmyer,m,left-hand bat,,
935995,Afif Hossain,m,left-hand bat,right-arm offbreak,right-arm offbreak
623977,Salman Agha,m,right-hand bat,right-arm offbreak,right-arm offbreak
698343,Eathan Bosch,m,right-hand bat,right-arm fast,right-arm fast
604302,Nicholas Pooran,m,left-hand bat,right-arm offbreak,right-arm offbreak
1161044,Shamim Hossain,m,left-hand bat,right-arm offbreak,right-arm offbreak
552152,Dushmantha Chameera,m,right-hand bat,right-arm fast,right-arm fast
1460388,id1460388id,,,,
481875,George Linde,m,left-hand bat,slow left-arm orthodox,slow left-arm orthodox
219889,David Warner,m,left-hand bat,legbreak,legbreak
398439,Karun Nair,m,right-hand bat,right-arm offbreak,right-arm offbreak
1277545,Abishek Porel,m,left-hand bat,,
927119,Ali Khan,m,right-hand bat,right-arm fast-medium,right-arm fast-medium
437316,Dasun Shanaka,m,right-hand bat,right-arm medium,right-arm medium
1460538,Ibrar Ahmad,m,right-hand bat,right-arm medium-fast,right-arm medium-fast
352048,Gulbadin Naib,m,right-hand bat,right-arm medium-fast,right-arm medium-fast
605681,Evan Jones,m,right-hand bat,right-arm medium-fast,right-arm medium-fast
1331515,Mohammad Naeem,m,right-hand bat,,
784379,Wanindu Hasaranga,m,right-hand bat,legbreak,legbreak
348148,Mohammad Nawaz,m,left-hand bat,slow left-arm orthodox,slow left-arm orthodox
429886,Wihan Lubbe,m,left-hand bat,right-arm offbreak,right-arm offbreak
1060380,Ruturaj Gaikwad,m,right-hand bat,right-arm offbreak,right-arm offbreak
772293,Michael Pepper,m,right-hand bat,,
784367,Charith Asalanka,m,left-hand bat,right-arm offbreak,right-arm offbreak
56268,Arafat Sunny,m,left-hand bat,slow left-arm orthodox,slow left-arm orthodox
1139511,Parvez Hossain Emon,m,left-hand bat,,
325026,Glenn Maxwell,m,right-hand bat,right-arm offbreak,right-arm offbreak
325012,Marcus Stoinis,m,right-hand bat,right-arm medium,right-arm medium
1138316,Maheesh Theekshana,m,right-hand bat,right-arm offbreak,right-arm offbreak
1194795,Matheesha Pathirana,m,right-hand bat,right-arm fast,right-arm fast
385065,Asif Afridi,m,left-hand bat,slow left-arm orthodox,slow left-arm orthodox
1175441,Ravi Bishnoi,m,right-hand bat,legbreak googly,legbreak googly
477021,Vijay Shankar,m,right-hand bat,right-arm medium,right-arm medium
1070196,Yash Thakur,m,right-hand bat,right-arm fast-medium,right-arm fast-medium
297628,Sam Billings,m,right-hand bat,,
1151270,Ayush Badoni,m,right-hand bat,right-arm offbreak,right-arm offbreak
942645,Khaleel Ahmed,m,right-hand bat,left-arm fast-medium,left-arm fast-medium
604527,Nitish Rana,m,left-hand bat,right-arm medium right-arm offbreak legbreak,right-arm medium right-arm offbreak legbreak
694211,Avesh Khan,m,right-hand bat,right-arm fast-medium,right-arm fast-medium
926851,Mukesh Kumar,m,right-hand bat,right-arm medium,right-arm medium
1151273,Nehal Wadhera,m,left-hand bat,legbreak,legbreak
1161024,Prabhsimran Singh,m,right-hand bat,,
230558,Sunil Narine,m,left-hand bat,right-arm offbreak,right-arm offbreak
276298,Andre Russell,m,right-hand bat,right-arm fast,right-arm fast
269237,Mohammad Mithun,m,right-hand bat,,
1460529,Digvesh Rathi,m,right-hand bat,legbreak,legbreak
1449074,Vipraj Nigam,m,right-hand bat,legbreak,legbreak
1168049,Jake Fraser-McGurk,m,right-hand bat,legbreak googly,legbreak googly
1076377,Oliver Davies,m,right-hand bat,right-arm offbreak,right-arm offbreak
772361,Sam Harper,m,right-hand bat,,
557295,Hilton Cartwright,m,right-hand bat,right-arm medium,right-arm medium
7898,Peter Siddle,m,right-hand bat,right-arm fast-medium,right-arm fast-medium
277912,Trent Boult,m,right-hand bat,left-arm fast-medium,left-arm fast-medium
