match_id,innings_number,over,ball_of_over,legal_ball_of_over,facing_batter_id,facing_batter_name,facing_batter_number,facing_batter_balls_faced,non_facing_batter_id,non_facing_batter_name,non_facing_batter_number,non_facing_batter_balls_faced,bowler_id,bowler_name,bowler_balls_bowled,runs_off_bat,no_ball_penalty_runs,runs_wide,runs_bye,runs_leg_bye,total_balls_so_far,total_runs_so_far,total_wickets_so_far,wicket_number,wicket_type,out_batter_id,out_batter_name,calculated_runs,run_difference
1459548,1,13,6,6,270135,Ariful Haque,7,8,,,,5,1072470,Shaheen Shah Afridi,18,0,0.0,0.0,0.0,0.0,79,85,7,,,,,0.0,1.0
1459548,1,14,6,6,461632,Reece Topley,10,1,270135.0,Ariful Haque,7.0,8,1139523,Rishad Hossain,18,0,0.0,0.0,0.0,0.0,85,89,8,,,,,0.0,5.0
1459548,1,15,1,1,270135,Ariful Haque,7,9,461632.0,Reece Topley,10.0,1,1402359,Jahandad Khan,13,6,0.0,0.0,0.0,0.0,86,95,8,,,,,6.0,5.0
1459548,1,15,2,2,270135,Ariful Haque,7,10,461632.0,Reece Topley,10.0,1,1402359,Jahandad Khan,14,0,0.0,0.0,0.0,0.0,87,95,8,,,,,0.0,5.0
1459548,1,15,3,3,270135,Ariful Haque,7,11,461632.0,Reece Topley,10.0,1,1402359,Jahandad Khan,15,6,0.0,0.0,0.0,0.0,88,101,8,,,,,6.0,5.0
1459548,1,15,4,4,270135,Ariful Haque,7,12,461632.0,Reece Topley,10.0,1,1402359,Jahandad Khan,16,0,0.0,0.0,0.0,0.0,89,101,8,,,,,0.0,5.0
1459548,1,15,5,5,270135,Ariful Haque,7,13,461632.0,Reece Topley,10.0,1,1402359,Jahandad Khan,17,1,0.0,0.0,0.0,0.0,90,102,8,,,,,1.0,5.0
1459548,1,15,6,6,461632,Reece Topley,10,2,270135.0,Ariful Haque,7.0,13,1402359,Jahandad Khan,18,0,0.0,0.0,0.0,0.0,91,102,8,,,,,0.0,5.0
1459548,1,16,1,1,270135,Ariful Haque,7,14,461632.0,Reece Topley,10.0,2,1139523,Rishad Hossain,19,0,0.0,0.0,0.0,0.0,92,102,8,,,,,0.0,5.0
1459548,1,16,2,2,270135,Ariful Haque,7,15,461632.0,Reece Topley,10.0,2,1139523,Rishad Hossain,20,2,0.0,0.0,0.0,0.0,93,104,8,,,,,2.0,5.0
1459548,1,16,3,3,270135,Ariful Haque,7,16,461632.0,Reece Topley,10.0,2,1139523,Rishad Hossain,21,0,0.0,0.0,0.0,0.0,94,104,8,,,,,0.0,5.0
